,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,name
0,52.400417,1.2338711,-0.009015441,-1.5230734,-2.3039863,9.694844,25.368118,26.484924,-3.5841217,1.2847933,-4.96318,7.49715,-7.7778125,4.497053,-7.1748214,22.44199,-4.595949,1.908237,3.333432,0.5309292,-7.5488296,4.4722285,33.318184,4.074938,-50.00953,0.026451776,-4.5432835,8.402419,0.85361576,-5.5484805,35.56733,25.822369,8.791354,-0.7546645,1.8358204,4.77481,32.080666,21.846899,21.672089,-0.91689974,14.958228,-7.06445,0.72621965,10.343867,-3.892631,-0.7267018,-1.0411718,-7.9520793,-1.7610927,3.0206742,-38.615414,46.331818,-51.298058,-0.58202815,2.6101522,-4.387983,-19.744898,1.1956913,-11.643803,8.1665745,10.212027,1.3357613,6.650598,2.1101913,f_t_1.csv
1,52.495945,2.1777873,-0.7748753,-0.65114665,-1.0495265,7.6790857,39.252266,39.65044,-0.982429,2.7131352,-5.247992,12.4067135,-10.21523,6.9516687,-15.141935,33.217518,-0.9939051,1.7977619,4.292626,0.08678065,-9.497083,4.63805,42.014908,3.3884835,-64.92381,-3.1536791,-2.2027237,18.262096,5.120391,-7.6129775,36.507317,34.610687,8.284615,1.7885097,4.9596334,3.6830387,34.839962,32.84079,31.96454,-2.4084144,26.635693,-15.689943,-2.5145273,15.402028,-5.3482184,-1.1353344,2.6141722,-8.722668,1.7880325,7.489929,-56.89863,59.793266,-66.28969,0.76617265,4.737303,-8.636259,-28.736677,0.10127779,-16.148088,9.850565,9.50284,-1.5394886,5.1269794,1.6462145,f_t_10.csv
2,24.022793,4.4555173,0.69781864,-4.6031156,-2.4894605,-6.8793554,23.8987,25.116512,-1.7415104,0.86968654,-1.2099936,8.301661,-8.204915,7.0418935,-5.834898,22.362679,0.023791272,-0.9519039,3.3835886,0.97952914,-3.4301176,-1.1264386,24.271215,3.2706952,-37.466908,-1.0322096,0.38902164,19.693361,4.581668,-8.94482,21.544922,14.444286,0.4291161,1.2870783,3.401814,4.2337036,18.772024,21.433998,28.002062,-0.54526526,18.1261,-12.6882,-3.5179186,6.6309066,-1.3283188,-0.9551876,6.2483306,-3.786767,4.0826855,2.3397515,-36.154724,34.12773,-49.88208,0.4873809,3.840341,-5.205698,-18.303373,-4.1524467,-14.567428,2.9516037,5.8345656,-1.4391124,0.04014991,-1.0345774,f_t_11.csv
3,34.118782,7.3949294,0.7737876,-1.4484241,-6.593623,-6.9563074,40.000965,29.155329,-6.522312,-1.7019612,-0.19213459,6.80905,-11.614289,7.072092,-31.385534,25.761246,-0.9116002,-7.602997,8.318855,-1.0297908,-2.690214,1.6950595,41.79489,6.8895855,-49.31234,2.7921093,-2.4691322,33.40072,3.8046744,-10.313766,12.434192,20.095428,3.3007207,-1.6663653,0.3421231,-0.8635255,16.87059,24.32065,30.36922,-1.9799615,23.546568,-9.356873,-1.9408717,24.027912,-4.4270363,0.19623725,12.630902,-24.049282,3.2779562,-0.669543,-44.62843,57.394302,-44.630028,0.82989323,1.0891702,-6.403436,-16.107594,-3.9038165,-16.847454,9.144104,10.256494,3.052482,3.095206,0.5737066,f_t_12.csv
4,47.332466,5.775863,-1.0023366,-4.380236,-5.3866596,-10.768453,47.85145,48.270035,-4.3671236,1.2874607,-3.095453,12.995572,-12.98299,8.525019,-14.455552,38.44456,0.9069385,-3.0581222,7.443379,0.37133467,-7.9318876,3.549815,44.56449,3.8529167,-64.51753,-0.22038393,-2.0275426,33.093678,7.1825795,-12.738097,34.26076,27.031034,7.406289,-0.32071933,4.823321,3.092329,31.637636,37.236877,46.835533,-2.551807,33.397243,-18.043447,-3.8199425,16.532944,-5.5487866,0.014179869,9.921583,-12.148005,3.7333212,8.603131,-66.37481,64.773605,-79.03661,0.21432963,5.851991,-7.70537,-31.448513,-2.2638319,-27.205982,8.691587,12.163346,-2.0294025,3.6380155,1.7969055,f_t_13.csv
5,49.692833,5.7922244,-0.27266276,-2.2821,-4.0134535,-0.9227819,47.086468,43.12206,-5.4367065,1.0042728,-2.8674085,10.833688,-13.38851,7.654811,-27.100075,35.710682,-1.1742477,-4.454041,7.27467,-1.2399505,-7.849955,4.189592,48.770554,5.691919,-64.31458,-0.31766254,-3.0723462,31.980314,5.180051,-11.291619,28.467838,30.759832,7.591256,-0.30253896,3.7808092,2.9487534,30.691011,34.61877,39.13767,-2.6671166,30.872408,-15.375763,-2.5257192,22.341423,-6.106028,-1.3016313,9.983637,-20.04039,1.1552138,5.5959225,-60.42355,68.29204,-67.818436,1.3095425,4.392219,-9.24113,-26.436668,-1.4739482,-22.080214,11.373906,12.419598,0.53773814,4.4118557,1.6785831,f_t_14.csv
6,42.743034,6.5858493,0.80323064,-5.7684684,-5.284557,-23.054008,45.335484,53.460922,-6.1883416,1.5178283,-2.3831718,10.836227,-18.112425,9.780569,-12.922888,37.87931,-1.8510628,-7.0520864,7.3294244,0.9647876,-6.4035945,1.5448611,41.078705,7.7388654,-58.42516,-0.57726794,-3.5542464,41.883816,5.938895,-18.232878,32.975372,17.900188,8.009291,-2.7513947,3.0844371,6.01507,27.867104,34.276505,52.2075,-1.3991343,32.06663,-16.669687,-2.670289,12.345669,-5.5325036,-3.022002,15.866541,-12.737097,-0.018679606,8.806289,-69.73586,64.04701,-84.5658,3.8810425,4.414466,-7.257552,-29.05916,-3.4473007,-37.300724,5.8161125,14.813909,-0.4545142,4.920031,0.76643944,f_t_15.csv
7,60.057766,6.3009696,-1.1728069,-3.3187041,-5.383212,-1.4937296,55.026768,51.42225,-4.778684,2.1336617,-2.9919212,13.594637,-14.390893,10.135419,-27.074366,45.510723,1.0728493,-2.9408765,9.486009,-0.3064822,-8.894687,4.030701,57.256752,5.542246,-81.1154,-1.0189602,-2.1931882,33.270016,7.562067,-13.026931,37.701912,37.48741,8.7656145,1.369109,4.8758187,2.5933056,38.845036,43.626957,48.094852,-4.0962043,38.04163,-21.07674,-4.8521943,22.963806,-5.8878484,-1.6038288,9.464766,-17.238966,4.156737,6.8339095,-75.15623,79.55928,-84.765144,0.23072782,6.2451305,-10.661954,-35.208126,-2.0066226,-26.320396,14.299707,13.242638,-1.078469,4.381225,1.9733677,f_t_16.csv
8,37.204845,7.886417,-1.0896283,-5.118594,-6.502817,-9.464955,46.059566,41.558422,-6.016592,-0.44680938,-1.9074953,10.706308,-12.242989,7.4448557,-20.552752,33.680267,0.83338827,-6.330238,8.328696,-0.30474675,-7.2359633,3.2043731,42.44047,3.262906,-55.004757,2.930043,-1.5993061,34.903072,6.5481396,-12.011137,23.36323,22.630587,5.404911,-1.6105882,2.9589674,0.7317313,25.669683,32.581207,42.593678,-1.7438637,31.285051,-16.25727,-4.5241375,20.069832,-4.425966,1.256343,12.127144,-18.24427,2.1352181,6.7873673,-56.385296,61.298218,-66.09316,-0.87130606,5.1556387,-7.5797715,-24.41993,-2.737695,-23.835535,8.045617,11.649374,-0.662667,2.512472,0.80969334,f_t_17.csv
9,34.91245,3.1305346,-1.1496423,-0.5455837,-4.5525026,-8.074708,32.18631,33.242207,-3.777848,1.1806654,-1.7772233,7.238269,-8.791029,4.8510065,-8.449327,26.252527,-1.4961405,-2.383101,4.857984,0.027521953,-5.593356,2.6644094,28.25961,2.5583582,-40.643642,0.815932,-2.071809,18.966696,2.7808125,-10.180508,22.369244,16.24043,7.9937863,-1.4544514,1.5175848,2.386074,22.141012,22.367706,30.467566,-1.3022438,20.94306,-9.916897,-2.055981,8.712679,-4.382598,-0.6378296,7.1619267,-8.11747,-1.583858,6.495251,-43.329803,41.454353,-51.639313,1.8503546,3.0224662,-5.0938807,-19.691505,0.028191768,-22.1818,7.6230116,9.680701,-0.46607465,4.2301383,1.0639601,f_t_18.csv
10,53.737236,8.62339,0.6345061,-4.349391,-6.7779527,-14.1216345,53.181675,53.83815,-5.681024,-0.41263732,-2.7372015,14.547536,-17.771654,10.604095,-19.92872,43.661583,-0.5711575,-6.810639,8.9218645,-0.29920995,-7.0753493,1.4884967,50.184906,7.751124,-72.356026,2.3723629,-1.8320208,40.32008,6.2694364,-18.132727,36.948574,27.165909,6.463137,-1.5670763,2.211168,4.4921856,32.967083,39.154404,52.46884,-0.70782715,34.390812,-17.663136,-4.8106594,18.819038,-5.063846,-1.0803603,13.262505,-16.475975,2.3411336,5.5451946,-72.22079,73.87629,-86.73278,1.7635688,3.4968,-9.069282,-31.660141,-5.3263755,-32.218357,9.434191,14.848708,-0.32240933,4.0490994,-0.052527405,f_t_19.csv
11,69.52528,4.8634677,-0.7492868,-6.402317,-9.087611,-28.746159,45.003365,55.732857,-10.275392,1.022755,-2.7447507,9.447868,-17.729168,8.664917,2.8957276,40.42112,-8.555312,-7.229445,7.672854,0.42240155,-6.0916305,3.9835413,45.45045,9.895084,-65.00069,2.654353,-8.801922,31.531431,-0.7667644,-20.079927,48.085953,15.972874,14.809805,-6.2729173,-0.8256752,7.5149097,42.28057,29.8435,58.050285,-1.5631729,29.534143,-6.952411,-1.2855263,7.2110605,-7.068071,-1.6521214,12.782883,-6.872252,-3.8905802,11.502,-75.99619,66.36114,-98.60476,3.6583126,4.732895,-3.3213503,-30.735262,-0.44257048,-48.014606,8.108425,21.11468,3.469535,12.844684,2.5411043,f_t_2.csv
12,34.57109,5.7700305,0.1732558,-5.307848,-1.9082067,4.858056,35.647915,33.120472,-1.3102772,0.5245823,-2.2011402,9.671378,-8.711337,6.6530023,-23.808203,27.349508,1.0134745,-1.1094127,6.004496,-0.119281664,-6.373229,1.0767591,38.675453,3.604105,-53.77992,-0.0942071,-0.12333143,27.060244,6.132035,-6.9991,23.113182,27.149624,2.2107506,1.2487229,5.604421,2.9278316,23.35519,31.784067,30.41584,-1.3018705,25.721434,-17.333992,-3.2145462,17.891386,-2.997703,-0.007364111,7.263329,-14.731409,3.997913,3.6457899,-43.92914,55.697273,-56.104347,-0.8841697,5.7365265,-8.342415,-23.008427,-3.7768776,-10.788638,9.07918,8.052848,-1.6728199,-0.6780703,-0.86833286,f_t_20.csv
13,49.805004,6.453506,-0.05453694,-0.93531203,-2.85729,17.818274,41.09556,28.53502,-4.0290627,-0.7488418,-4.457482,7.5902467,-9.229594,6.5169683,-35.898903,27.25508,-2.7368326,-2.917045,7.8947988,-2.1263804,-8.287826,3.8573887,48.698315,5.6436563,-61.80493,2.1061847,-2.9375176,21.868254,2.8007338,-5.9624934,22.295563,35.11687,6.535492,-0.53827626,2.3375201,0.7923392,27.930632,29.522432,23.494722,-1.0941502,23.79842,-12.871883,-1.5505319,26.71666,-4.080813,0.11502807,6.6723294,-25.468773,-0.97241735,1.321531,-42.77843,66.318214,-46.079865,-1.0013651,4.1670003,-10.195809,-18.836885,-0.41413143,-7.42956,14.069134,10.718492,2.4870694,4.252317,0.57161045,f_t_21.csv
14,45.990185,4.90019,0.39621556,-1.7789819,-2.5633862,13.843961,37.400555,29.489128,-2.3810027,0.989407,-2.8568666,8.488337,-9.292263,6.6705256,-32.16335,28.193605,-1.5395975,-1.3358588,5.8446536,-1.1125492,-6.319602,1.5548773,44.95668,5.589822,-60.830563,0.09883375,-1.2701476,22.966501,3.787634,-7.233196,24.28557,32.89476,4.800406,1.3561472,3.4450252,3.4573011,27.553755,30.281963,25.539675,-1.7504259,24.010887,-15.100489,-2.242189,21.516508,-3.392508,-0.8326221,5.782906,-19.914581,1.4636054,-0.17678139,-43.096664,60.952374,-52.285587,1.0821013,3.8161168,-9.2007,-21.692966,-2.5856788,-9.031714,13.335741,9.570739,1.2207081,2.2789667,-0.64562607,f_t_3.csv
15,51.72919,8.874035,-0.8657428,-3.6046095,-8.079824,-11.648862,58.33848,54.79675,-7.1343055,0.22438279,-2.99005,10.964468,-17.539572,10.072609,-32.185707,42.650196,-1.866127,-8.905536,11.0842905,-0.4786247,-8.779529,2.657729,54.778126,6.410756,-71.992004,3.1990726,-3.2747965,45.71303,6.075065,-16.82248,27.521534,28.539976,10.193157,-3.474679,1.8249407,1.7465609,30.93258,39.783035,51.26317,-1.0946985,37.771435,-19.14196,-4.195798,24.892488,-6.030067,-0.45098767,18.008055,-25.66404,-1.5651336,7.031542,-72.524895,81.09247,-81.47254,2.3135514,4.8250604,-9.94529,-29.569942,-2.6948087,-33.682777,13.366362,16.489805,0.557792,5.4124446,0.3219376,f_t_4.csv
16,48.082302,6.252584,-1.1032995,-3.2913103,-8.058223,-4.173457,35.72603,30.417595,-11.47333,-0.6421886,-3.132634,3.5892591,-12.171442,4.903042,-16.660948,24.543985,-7.9368715,-7.738586,8.316346,0.30479348,-7.8679543,5.9971232,40.16735,4.3901763,-44.631504,5.7159715,-7.989677,23.441227,1.1078045,-10.432655,24.330172,17.583939,12.100122,-6.3977327,-2.2231843,0.5354794,29.173964,19.506819,31.381208,-0.8659244,20.31878,-5.728364,0.21135332,18.306746,-5.1988487,0.2938439,10.000403,-22.241455,-7.630965,5.173206,-45.638897,57.437035,-51.56399,-0.8734473,2.0378938,-3.8642285,-13.856191,2.5743148,-24.483429,8.96122,15.765834,5.4109817,10.1084385,3.276969,f_t_5.csv
17,80.33307,6.247968,-0.5481316,-5.2060895,-6.5339394,2.9150114,50.47313,47.25558,-5.763071,1.5090011,-5.1463704,14.742376,-13.738961,10.406667,-10.041184,45.789673,-3.947752,0.27726406,8.34398,-0.489766,-9.432685,4.5920644,58.229065,7.242625,-88.17889,1.6226127,-4.4652405,19.828913,4.674611,-14.058219,56.654808,39.30568,10.78032,0.29173747,2.3676326,5.414999,52.061634,40.292526,48.552193,-2.766109,32.05708,-16.680271,-3.9812474,16.726402,-4.281784,-0.5095137,2.4375346,-9.615358,2.6509657,6.008934,-73.37855,78.28119,-94.53632,-2.0439525,6.0788765,-8.671208,-36.979626,-1.1640022,-26.257238,13.618456,16.279446,1.1545441,8.611607,1.8856068,f_t_6.csv
18,57.25321,7.2207065,-0.1790067,-3.1215048,-8.0804,-18.612328,54.11099,56.645603,-7.740331,1.3707908,-2.6009166,12.618201,-19.238998,10.781743,-19.439037,43.79191,-3.0228577,-7.380571,9.118974,0.91169035,-7.099297,2.643634,51.246376,8.525549,-72.73495,1.7267711,-3.9591494,42.549534,5.521268,-19.641443,37.485863,25.50645,10.235771,-2.994092,1.5229065,4.641653,35.386307,37.44616,54.888084,-1.9097801,35.25214,-16.60956,-3.386015,18.315311,-6.3846254,-1.9692582,15.643959,-17.589977,-0.58061266,7.478314,-77.85593,76.2735,-90.54298,3.6756814,2.9308536,-7.8283744,-31.630213,-3.6187217,-38.783222,9.99073,17.211256,1.6216443,7.5829597,1.2035246,f_t_7.csv
19,60.63335,6.6484637,-2.2521572,-6.2956176,-8.802624,-32.460865,59.42093,72.37984,-8.555084,1.7800373,-2.5329788,13.585558,-19.278545,10.267833,-4.0823846,51.09785,-2.706684,-6.9206014,9.946488,1.2086312,-10.398481,4.333361,49.01466,4.997081,-71.96613,0.8267371,-4.7641144,43.796337,6.434785,-22.04639,46.222206,21.760204,14.549074,-4.2983465,3.528612,6.1376934,41.659306,43.228195,68.797226,-1.1111065,42.784054,-20.178864,-3.5042772,10.655424,-8.187528,-1.8694333,17.618345,-9.658922,-2.951527,17.15328,-89.7376,76.580025,-111.29676,2.2165327,7.329758,-7.6528897,-39.07394,-0.7424467,-51.83606,9.326775,19.65911,-3.2305152,7.1721997,2.34589,f_t_8.csv
20,47.417034,4.7545104,-1.1523362,-2.9824834,-5.8645754,-7.918372,44.78681,45.676243,-5.1536217,1.7562889,-3.8482559,8.597575,-13.70713,7.116702,-20.899908,33.837303,-2.5306196,-4.823605,7.7894254,0.18354283,-8.281076,3.6763408,43.001026,4.8398776,-58.453205,1.2453964,-4.3657446,33.53313,3.8616738,-12.655866,27.334133,23.792656,11.659009,-3.559896,2.2057755,2.9968815,27.553698,32.32737,40.90396,-2.0939708,29.288614,-14.183693,-2.303073,16.920551,-5.4619584,-0.9176753,12.222035,-17.500448,-2.9452085,7.1229978,-60.475456,64.877045,-69.71036,3.1482484,4.2600775,-6.8382936,-25.937302,-0.5800713,-29.018223,11.664868,14.335214,0.727361,6.4307117,1.4961472,f_t_9.csv
21,-42.06521,3.3889184,-1.572302,-1.3571618,1.054874,15.930485,-9.619929,-33.10213,-3.434835,-5.3382435,1.8560984,-14.108336,10.079404,-6.2117567,-35.70212,-29.885332,-3.4197483,-7.619594,2.4284813,-3.1664786,0.6081521,0.08153033,-6.3184853,-5.4644136,41.13131,4.9383936,-1.0389051,7.03543,-1.5800512,14.272836,-51.341286,-9.320501,-6.396713,-4.231127,0.66368514,-8.771043,-28.04329,-17.72409,-29.008224,2.9287853,-8.70058,5.1943374,3.6198473,19.481808,0.14091396,6.607464,8.902994,-29.85558,-4.546198,-5.0199037,48.093414,-13.328542,64.6271,-3.7475877,2.7540731,-0.57643825,27.521383,3.5702183,25.709835,2.0710247,-4.8743863,4.0808387,-6.1911645,-1.1047537,n_t_1.csv
22,-39.31914,1.6700116,-4.894947,1.4754701,-0.15900938,9.850251,-4.14977,-29.79488,-7.928989,-5.832359,-0.2023401,-17.141205,9.625602,-6.855934,-32.729473,-31.260435,-6.1712513,-11.136767,4.9440017,-3.8640985,-2.507642,4.577175,-6.24739,-7.978629,45.41308,6.463862,-4.6555843,6.546876,-2.682151,16.351461,-55.558388,-12.766401,-0.22959796,-8.2368965,-1.0280664,-13.135906,-26.48707,-22.133308,-27.460897,3.2833557,-7.550697,10.090193,4.751002,21.963358,-1.9523315,8.254772,11.759435,-33.596657,-10.101713,1.2618802,42.335846,-12.394706,69.13525,-4.7861233,3.9349184,0.33476132,30.701574,9.56689,18.144547,2.204316,-2.956549,5.699325,-1.8571746,1.9128592,n_t_10.csv
23,-42.30254,1.0245539,-2.078886,-1.8349907,1.6803217,12.0541725,-10.154128,-28.079536,-6.416343,-2.9260688,1.7400515,-17.143559,8.322426,-6.605035,-36.837025,-29.418455,-4.693384,-9.314168,0.9777896,-2.2383244,-0.74213463,0.9208963,-6.8819137,-5.8398724,46.229027,2.3421743,-2.1937084,11.813854,-3.6727006,12.58391,-52.510094,-12.636723,-2.6212807,-5.335848,2.2709758,-4.056381,-26.371353,-16.907179,-25.072027,2.5177746,-6.193366,3.9449408,5.3128185,17.490929,-0.70304966,3.5016778,12.743104,-32.890728,-9.805084,-4.326798,45.422325,-13.843993,58.014465,-0.7250167,3.8311214,0.101190284,27.847996,5.259918,17.957253,2.564452,-2.6173394,4.394975,-5.437398,0.13811472,n_t_11.csv
24,-32.58962,1.0173956,-1.2167302,1.6109573,2.5565832,20.453514,-10.530645,-30.04237,-3.5976105,-4.102646,2.1875613,-13.589857,9.103985,-6.1911783,-36.74699,-27.853485,-3.5579371,-5.4767013,1.6861454,-2.6519332,0.85220546,1.2737353,-4.6969194,-3.4784498,35.415287,3.320846,-1.1231878,2.7427528,-3.3412402,13.966864,-45.93402,-5.496546,-4.865496,-3.1942546,1.0231717,-6.8107977,-23.791723,-16.625238,-31.318594,1.9212316,-10.088527,7.134811,4.97964,18.910988,-0.48767757,3.702779,6.1652803,-28.297625,-5.922785,-5.8805795,44.74642,-10.820518,63.097946,-2.8521752,0.69365406,-0.5898321,26.530426,3.4125495,25.99666,3.736286,-4.573618,4.8845916,-5.36707,-0.23897824,n_t_12.csv
25,-49.097393,2.8032203,-2.883339,1.4665371,0.35466546,12.209937,-4.5558505,-32.44601,-7.0279045,-5.118478,1.4649627,-16.896397,8.446733,-6.856434,-44.85236,-33.248783,-3.8511689,-11.548707,3.7583654,-3.57679,-0.3347104,3.002138,-5.4405923,-6.585346,47.401604,5.373132,-2.799129,14.959223,-1.3091862,15.61036,-63.199333,-11.976646,-3.514067,-6.788817,0.059390843,-12.311592,-33.38766,-20.630568,-30.170815,1.9936165,-7.347479,7.411101,5.0736437,26.395102,-1.3692203,7.053418,14.005179,-39.71555,-7.7893987,-3.3126538,46.731297,-10.965184,74.54984,-2.979096,2.123805,-0.33933145,32.398632,6.1240835,22.714184,1.8885592,-4.2347245,6.0369296,-4.654245,0.6437496,n_t_13.csv
26,-41.852108,3.796111,-1.9469739,1.524445,1.6747491,39.928932,1.1155635,-37.997337,-7.292314,-4.7261186,0.1280072,-19.10963,9.416777,-7.6234894,-78.456894,-34.255493,-3.401987,-11.564647,4.4232974,-4.121286,-3.1657312,3.5075815,11.26078,-5.9265957,35.018875,5.2550607,-2.5532174,20.362343,-2.7470262,20.019964,-71.04344,4.617193,-2.6504662,-5.8041296,1.9871585,-11.060763,-32.32048,-12.997047,-40.569458,0.9170436,-3.9245737,2.2721875,6.317649,42.806778,-1.2210193,5.9219246,15.113762,-59.7884,-10.551865,-11.338835,54.19029,9.952525,83.65678,-2.682724,2.8038692,-4.430018,35.10979,5.140212,37.015846,10.683313,-3.1696656,7.9255977,-6.273361,-0.3291826,n_t_14.csv
