,name,dist
602,f_3_39.csv,28.862170052591818
81,f_1_20.csv,29.79011868878325
76,f_1_16.csv,30.887353503776318
123,f_3_2.csv,31.39719314278707
86,f_1_4.csv,35.36016601258247
70,f_1_10.csv,35.830658166836784
134,f_3_4.csv,36.895923504091755
79,f_1_19.csv,37.513617727312976
90,f_1_8.csv,38.36245751940694
78,f_1_18.csv,39.863405032675395
83,f_1_22.csv,41.16906888491342
145,f_4_2.csv,41.634753286872744
104,f_2_20.csv,41.89985146673426
91,f_1_9.csv,42.18206563538817
75,f_1_15.csv,43.1594573832629
89,f_1_7.csv,44.15754942809754
2,f_t_11.csv,44.60765064480908
116,f_3_13.csv,45.40683531903469
136,f_3_6.csv,45.49859739813143
87,f_1_5.csv,46.40818044813951
163,f_5_19.csv,47.457394438785236
121,f_3_18.csv,47.94032196863448
178,f_5_32.csv,47.97745933231938
135,f_3_5.csv,48.29997659481328
3,f_t_12.csv,48.758230714462144
73,f_1_13.csv,48.828116401688824
601,f_3_38.csv,49.71878192339757
12,f_t_20.csv,50.37642363621734
593,f_3_30.csv,52.376349839497294
72,f_1_12.csv,52.63044234312012
77,f_1_17.csv,52.72172652847167
69,f_1_1.csv,53.52947836262835
151,f_4_8.csv,54.011489356131776
608,f_3_45.csv,54.585139117809646
71,f_1_11.csv,54.662684405006395
74,f_1_14.csv,55.69487722453186
124,f_3_20.csv,56.36909767647543
88,f_1_6.csv,56.372906756431384
172,f_5_27.csv,56.70596059406962
114,f_3_11.csv,56.8945531896263
9,f_t_18.csv,57.27641313162659
148,f_4_5.csv,57.2849811044935
595,f_3_32.csv,57.93985531700352
592,f_3_29.csv,58.36633049476786
82,f_1_21.csv,58.39472833521847
171,f_5_26.csv,58.41110798404875
80,f_1_2.csv,58.78915764366313
607,f_3_44.csv,59.59784112252446
85,f_1_3.csv,60.06594549406666
84,f_1_23.csv,60.3344149099556
604,f_3_41.csv,60.73275237466127
119,f_3_16.csv,61.11276283298046
610,f_3_47.csv,61.162723327287665
147,f_4_4.csv,61.71078914273544
179,f_5_33.csv,61.81223572354128
181,f_5_35.csv,62.36507211829476
605,f_3_42.csv,62.37955851613304
125,f_3_21.csv,63.11112227650192
122,f_3_19.csv,63.55453239601801
14,f_t_3.csv,63.71999217355932
185,f_5_7.csv,64.70821639145318
176,f_5_30.csv,64.78293273677016
