index,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0.47725263,0.42243972,0.47733587,0.46814913,0.5487333,0.40569207,0.5388074,0.49283263,0.56991017,0.41292995,0.56587875,0.4864828,0.61035365,0.4239484,0.6077256,0.465034,0.7044685,0.40536022,0.71646595,0.47672868,0.8173513,0.37897986,0.83979565,0.48187935
1,0.4872219,0.40862736,0.4951225,0.46969977,0.5761131,0.40150747,0.57962555,0.48088574,0.60438406,0.4233368,0.604043,0.46060455,0.6258631,0.41907728,0.62675667,0.45402086,0.7433958,0.3869005,0.7481446,0.4747659,0.85308933,0.3551023,0.86488724,0.48059666
2,0.49886885,0.39871562,0.50184345,0.4575623,0.5844948,0.38738537,0.5907081,0.4693319,0.61437935,0.40914065,0.618702,0.45291612,0.6399471,0.40848467,0.6398141,0.44383377,0.7550114,0.38132733,0.7442674,0.47083116,0.86262435,0.34917054,0.8682132,0.4797579
3,0.472886,0.39455363,0.4808801,0.45154402,0.55949074,0.3821303,0.5640693,0.4621724,0.576597,0.40552607,0.5886792,0.4418751,0.6211753,0.41110745,0.6198591,0.43055886,0.7366495,0.37535673,0.7236849,0.46790162,0.84885365,0.47863057,0.8432382,0.3483595
4,0.46931913,0.39019144,0.47359487,0.44979033,0.5547662,0.3800602,0.55902094,0.4589156,0.58387023,0.40201327,0.58622646,0.44650424,0.60948306,0.3995197,0.61089975,0.43375102,0.7206839,0.37254745,0.7076955,0.46766448,0.8241103,0.3459097,0.83598673,0.47796723
5,0.49468666,0.44004884,0.48851812,0.3999481,0.5693714,0.45713875,0.57816035,0.38099143,0.6016119,0.44284448,0.6052334,0.41821328,0.62407047,0.43082738,0.62260896,0.3990872,0.7272529,0.46472043,0.7397463,0.3701571,0.8500307,0.47933114,0.84589076,0.33840615
6,0.5121501,0.3834643,0.5223256,0.43081465,0.58431786,0.38378024,0.59006107,0.43751073,0.5946847,0.4060687,0.60324734,0.43343133,0.654534,0.38237497,0.6584057,0.41685903,0.7577505,0.36696112,0.74778295,0.45243078,0.85821605,0.33981702,0.8577594,0.47728693
7,0.49411252,0.3798214,0.5109183,0.41329014,0.56629205,0.39679298,0.6081441,0.43205306,0.5429246,0.4217087,0.5533643,0.4488618,0.6371375,0.3522634,0.6456898,0.38157132,0.74662215,0.36361864,0.7412366,0.4265372,0.85186446,0.3366078,0.8596806,0.4550732
8,0.49679607,0.37913057,0.5149927,0.38918084,0.54542583,0.41658333,0.597846,0.39348647,0.554408,0.44855917,0.604119,0.4317,0.6349435,0.33362365,0.6381662,0.3516249,0.72130895,0.35465762,0.7288683,0.40107143,0.82218117,0.31924865,0.85161066,0.37793636
9,0.534667,0.3819256,0.5315975,0.35936907,0.57540935,0.41026983,0.6010913,0.34889272,0.5989884,0.4467202,0.6419462,0.37347725,0.6435042,0.32332796,0.64345765,0.31806326,0.7338478,0.3399699,0.74730605,0.37644148,0.81780434,0.28473693,0.8638731,0.34048715
10,0.56534374,0.36905113,0.55107933,0.34329158,0.6011062,0.39286923,0.6070124,0.32031816,0.62765414,0.4226508,0.6670374,0.3296499,0.65780133,0.3080004,0.65729547,0.30866456,0.7369676,0.32949597,0.7459341,0.36675745,0.80927783,0.28347662,0.8653987,0.33887923
